"HALTER_ID","ALTER","GESCHLECHT","STADTKREIS","STADTQUARTIER","RASSE1","RASSE1_MISCHLING","RASSE2","RASSE2_MISCHLING","RASSENTYP","GEBURTSJAHR_HUND","GESCHLECHT_HUND","HUNDEFARBE"
100342,"61-70","w",10,101,"Zwergpinscher",,,,"K",2007,"m","schwarz/braun/weiss"
110003,"61-70","w",10,101,"Labrador Retriever",,,,"I",2010,"m","hellbraun"
156469,"21-30","w",10,101,"Bichon Havanais",,,,"K",2013,"w","weiss"
88471,"71-80","w",10,101,"Yorkshire Terrier",,,,"K",2018,"m","black/tan"
156232,"31-40","w",10,101,"Chesapeake Bay Retriever",,,,"I",2020,"m","braun"
159872,"21-30","w",10,101,"Belgischer Schäferhund","Mischling",,,"I",2018,"w","schwarz"
81645,"71-80","m",10,101,"Airedale Terrier",,,,"I",2009,"w","black/tan"
86990,"51-60","m",10,101,"Labrador Retriever",,,,"I",2017,"m","schwarz"
84308,"71-80","w",10,101,"Mischling klein",,,,"K",2011,"w","schwarz/braun/weiss"
87466,"81-90","w",10,101,"Mischling klein",,,,"K",2010,"m","braun"
117879,"81-90","w",10,101,"Havaneser",,,,"K",2013,"w","schwarz/weiss"
131137,"41-50","w",10,101,"Border Collie",,"Labrador Retriever",,"I",2016,"m","schwarz/weiss"
114129,"31-40","m",10,101,"Podenco Ibicenco",,,,"I",2009,"m","braun/weiss"
84825,"51-60","w",10,101,"Appenzeller",,"Berner Sennenhund",,"I",2019,"m","schwarz/weiss"
156931,"41-50","w",10,101,"Labrador Retriever",,,,"I",2021,"w","schwarz"
93288,"51-60","w",10,101,"Cavalier King Charles Spaniel",,,,"K",2007,"m","tricolor"
159045,"41-50","w",10,101,"Jack Russel Terrier",,,,"K",2021,"w","schwarz/weiss"
142830,"31-40","w",10,101,"Beagle",,,,"K",2010,"w","tricolor"
89195,"41-50","w",10,101,"Mischling klein",,,,"K",2001,"m","weiss"
154119,"31-40","m",10,101,"Mischling gross",,,,"I",2017,"m","schwarz/weiss"
121595,"41-50","w",10,101,"Border Collie",,,,"I",2013,"m","rotbraun/weiss"
151856,"71-80","m",10,101,"Mischling gross",,,,"I",2012,"w","black/tan"
82261,"61-70","w",10,101,"Chow Chow",,,,"I",2007,"m","rot"
140127,"41-50","w",10,101,"Chihuahua",,,,"K",2014,"w","weiss/schwarz"
110632,"41-50","m",10,101,"Golden Retriever",,,,"I",2011,"w","golden"
109934,"31-40","w",10,101,"Whippet",,,,"I",2011,"m","beige/schwarz"
142945,"31-40","m",10,101,"Labrador Retriever",,,,"I",2019,"w","Fox/Red"
143175,"31-40","w",10,101,"Mops",,,,"K",2009,"m","beige"
125539,"71-80","w",10,101,"West Highland White Terrier",,,,"K",2017,"w","weiss"
112785,"41-50","w",10,101,"Pekingese","Mischling",,,"K",2012,"m","schwarz/weiss"
155070,"21-30","w",10,101,"Chihuahua",,,,"K",2017,"w","creme"
103617,"51-60","w",10,101,"Mischling klein",,,,"K",2018,"w","weiss"
5226,"61-70","m",10,101,"Französische Bulldogge",,,,"K",2021,"w","schwarz/weiss"
129914,"21-30","w",10,101,"Mischling gross",,,,"I",2017,"m","schwarz"
81648,"41-50","w",10,101,"Bolonka Zwetna",,,,"K",2020,"m","rot/braun/weiss"
150706,"41-50","m",10,101,"Mischling gross",,,,"I",2013,"m","schwarz/braun"
159698,"41-50","w",10,101,"Mops",,,,"K",2021,"w","schwarz"
142568,"41-50","w",10,101,"Parson Russell Terrier",,,,"K",2018,"w","weiss/braun"
141326,"51-60","w",10,101,"Podenco Canario","Mischling",,,"I",2009,"w","braun/weiss"
87648,"61-70","w",10,101,"Australian Shepherd",,,,"I",2017,"m","tricolor"
159883,"41-50","m",10,101,"Lagotto Romagnolo",,,,"I",2021,"w","orangeschimmel"
159578,"51-60","w",10,101,"English Setter",,,,"I",2019,"m","weiss/braun"
152375,"31-40","w",10,101,"Mischling gross",,,,"I",2019,"w","hellbraun/weiss"
89778,"41-50","w",10,101,"Berger des Pyrenées",,,,"I",2007,"m","gestromt"
159683,"31-40","m",10,101,"Dachshund",,,,"K",2008,"m","saufarben"
147337,"51-60","w",10,101,"Französische Bulldogge",,,,"K",2018,"m","schwarz/weiss"
144956,"21-30","w",10,101,"Zwergspitz",,,,"K",2021,"w","braun"
100102,"31-40","m",10,101,"Malinois",,,,"I",2010,"m","braun/schwarz"
157422,"31-40","w",10,101,"Zwergspitz",,"Siberian Husky",,"I",2020,"m","weiss"
127255,"41-50","w",10,101,"Pinscher",,,,"K",2008,"w","schwarz/braun"
120517,"51-60","m",10,101,"Miniature Australian Shepherd",,,,"I",2016,"w","red-tri"
114673,"41-50","w",10,101,"Pinscher","Mischling",,,"K",2011,"m","schwarz"
133271,"51-60","w",10,101,"Yorkshire Terrier",,,,"K",2011,"w","braun/beige"
147015,"31-40","m",10,101,"Continental Bulldog",,,,"I",2019,"m","beige/schwarz"
104776,"61-70","w",10,101,"Labrador",,"Pudel",,"I",2016,"m","schwarz"
143917,"31-40","w",10,101,"Labrador Retriever",,,,"I",2018,"m","braun"
158571,"31-40","m",10,101,"West Highland White Terrier",,,,"K",2021,"w","weiss"
86447,"71-80","w",10,101,"Irish Terrier",,,,"I",2014,"w","rot"
84712,"51-60","w",10,101,"Mischling klein",,,,"K",2020,"m","hellbraun/weiss"
159091,"31-40","w",10,101,"Perro de Agua Espanol",,,,"I",2021,"w","weiss/schwarz"
137494,"21-30","w",10,101,"Mischling gross",,,,"I",2017,"w","braun/schwarz"
143022,"61-70","w",10,101,"Lakeland Terrier",,,,"K",2018,"m","rot"
84393,"41-50","w",10,101,"Französische Bulldogge",,,,"K",2016,"m","schwarz/weiss"
95653,"41-50","m",10,101,"Mischling klein",,,,"K",2008,"w","schwarz"
136833,"41-50","w",10,101,"Labrador Retriever","Mischling",,,"I",2017,"w","creme"
153803,"41-50","w",10,101,"Jack Russel Terrier",,,,"K",2020,"w","weiss/schwarz/braun"
157794,"51-60","w",10,101,"Appenzeller Sennenhund",,,,"I",2020,"w","schwarz/braun/weiss"
152658,"21-30","w",10,101,"Pekingese",,,,"K",2014,"m","braun"
157583,"41-50","w",10,101,"Weisser Schäferhund (Berger Blanc Suisse)",,,,"I",2021,"w","weiss"
144949,"21-30","w",10,101,"Mischling klein",,,,"K",2017,"m","schwarz/weiss"
101329,"31-40","w",10,101,"Mischling klein",,,,"K",2009,"m","schwarz/weiss"
131648,"41-50","m",10,101,"Labrador Retriever",,,,"I",2016,"w","braun"
120561,"31-40","w",10,101,"West Highland White Terrier",,,,"K",2011,"m","weiss"
80127,"51-60","w",10,101,"American Bulldog",,,,"I",2016,"m","weiss/braun"
124673,"41-50","m",10,101,"Dachshund",,,,"K",2011,"w","braun"
88156,"71-80","w",10,101,"Mischling klein",,,,"K",2014,"w","hellbraun"
